"id","name","streetAddress","city","state","country","postal"
"on-public:B67083:850888","Cardinal Leger Secondary School","75 Mary St","Brampton","Ontario","Canada","L6W 3K5"
"on-public:B66052:912651","Caring and Safe School 1","30 Barrhead Cres","Etobicoke","Ontario","Canada","M9W 3Z7"
"on-public:B66052:909300","Caring and Safe School 2","1641 Pharmacy Avenue","Scarborough","Ontario","Canada","M1R 2L2"
"on-public:B66052:899704","Caring and Safe School 3","720 Midland Avenue","Scarborough","Ontario","Canada","M1K 4C9"
"on-public:B66052:952524","Caring and Safe School 4","Suite Suite 100, 540 Jones Ave","Toronto","Ontario","Canada","M6P 4G4"
"on-public:B66192:898520","Carleton Place High School","215 Lake Ave W","Carleton Place","Ontario","Canada","K7C 1M3"
"on-public:B29122:695483","Carrefour Options +","504 St-Raphael rue","Sudbury","Ontario","Canada","P3B 1M4"
"on-public:B66125:918407","Castlebrooke Secondary School","10 Gardenbrooke Trail","Brampton","Ontario","Canada","L6P 3L1"
"on-public:B67121:695343","Cathedral High School","30 Wentworth St N","Hamilton","Ontario","Canada","L8L 8H5"
"on-public:B67024:700088","Catholic Central","2465 McDougall St","Windsor","Ontario","Canada","N8X 3N9"
"on-public:B67032:695734","Catholic Central High School","450 Dundas St","London","Ontario","Canada","N6B 3K3"
"on-public:B66125:899003","Cawthra Park Secondary School","1305 Cawthra Rd","Mississauga","Ontario","Canada","L5G 4L1"
"on-public:B66168:899046","Cayuga Secondary School","70 Haldiamnd Hwy #54","Cayuga","Ontario","Canada","N0A 1E0"
"on-public:B66052:899178","Cedarbrae Collegiate Institute","550 Markham Rd","Scarborough","Ontario","Canada","M1H 2A2"
"on-public:B66117:899283","Centennial Collegiate and Vocational Institute","289 College Ave W","Guelph","Ontario","Canada","N1G 1S9"
"on-public:B66222:899275","Centennial Secondary School","160 Palmer Rd","Belleville","Ontario","Canada","K8P 4E1"
"on-public:B28010:891347","Central Algoma Secondary School","32 Kensington Rd","Desbarats","Ontario","Canada","P0R 1E0"
"on-public:B66044:899305","Central Elgin Collegiate Institute","201 Chestnut St","St Thomas","Ontario","Canada","N5R 2B5"
"on-public:B66052:952842","Central Etobicoke High School","10 Denfield St","Toronto","Ontario","Canada","M9R 3H1"
"on-public:B66222:900478","Central Hastings School Secondary School","129 Elgin St","Madoc","Ontario","Canada","K0K 2K0"
"on-public:B66010:899569","Central Huron Secondary School","165 Princess St E","Clinton","Ontario","Canada","N0M 1L0"
"on-public:B66125:899828","Central Peel Secondary School","32 Kennedy Rd N","Brampton","Ontario","Canada","L6V 1X4"
"on-public:B66052:899437","Central Toronto Academy","570 Shaw St","Toronto","Ontario","Canada","M6G 3L6"
"on-public:B66117:900214","Centre Dufferin District High School","150 Fourth Ave","Shelburne","Ontario","Canada","L9V 3R5"
"on-public:B66117:909831","Centre Wellington District High School","905 Scotland St","Fergus","Ontario","Canada","N1M 1Y7"
"on-public:B67059:695947","Chaminade College School","490 Queen's Dr","Toronto","Ontario","Canada","M6L 1M8"
"on-public:B28010:900869","Chapleau High School","20 Teak St","Chapleau","Ontario","Canada","P0M 1K0"
"on-public:B66192:897876","Charlottenburgh and Lancaster District High School","19743 John St","Williamstown","Ontario","Canada","K0C 2J0"
"on-public:B66036:919322","Chatham-Kent Secondary School","285 McNaughton Ave E","Chatham","Ontario","Canada","N7L 2G7"
"on-public:B28029:901121","Chelmsford Valley District Composite School","3594 144 Hwy","Chelmsford","Ontario","Canada","P0M 1L0"
"on-public:B66125:901342","Chinguacousy Secondary School","1370 WILLIAMS PKY","BRAMPTON","Ontario","Canada","L6S 1V3"
"on-public:B28037:901385","Chippewa Secondary School","539 Chippewa St W","North Bay","Ontario","Canada","P1B 6G8"
"on-public:B67113:697125","Christ the King Catholic Secondary School","161 Guelph Street","Georgetown","Ontario","Canada","L7G 4A1"
"on-public:B66052:901474","City School","635 Queen's Quay W","Toronto","Ontario","Canada","M5V 3G3"
"on-public:B66079:901687","Clarington Central Secondary School","200 Clarington Blvd","Bowmanville","Ontario","Canada","L1C 5N8"
"on-public:B66079:901512","Clarke High School","3425 Highway 35 115 Hwy","Newcastle","Ontario","Canada","L1B 0R7"
"on-public:B66044:901644","Clarke Road Secondary School","300 Clarke Rd","London","Ontario","Canada","N5W 5N4"
"on-public:B66125:901660","Clarkson Secondary School","2524 Bromsgrove Rd","Mississauga","Ontario","Canada","L5J 1L8"
"on-public:B66079:967836","Cobourg Collegiate Institute","335 King East St","Cobourg","Ontario","Canada","K9A 1M2"
"on-public:B28002:902292","Cochrane High School","453 B Chalmers Avenue","Cochrane","Ontario","Canada","P0L 1C0"
"on-public:B29106:724157","École catholique Nouveau Regard (Pavillon Jeunesse Nord)","2-399 8e rue","Cochrane","Ontario","Canada","P0L 1C0"
"on-public:B28100:902306","École secondaire CANO","3 Aurora avenue","Kapuskasing","Ontario","Canada","P5N 1J6"
"on-public:B29114:685011","École secondaire catholique Algonquin","555 Algonquin avenue","North Bay","Ontario","Canada","P1B 4W8"
"on-public:B67334:855949","École secondaire catholique Ange-Gabriel","1515 Kensington prom.","Brockville","Ontario","Canada","K6V 6H9"
"on-public:B67334:705314","École secondaire catholique Béatrice-Desloges","1999 Provence av.","Orléans","Ontario","Canada","K4A 3Y6"
"on-public:B29122:696048","École secondaire catholique Champlain","61 Brookside chemin","Chelmsford","Ontario","Canada","P0M 1L0"
