"id","name","boardName","schoolSpecialConditions","streetAddress","city","state","country","postal"
"on-provider:B67083:989703","DPCDSB - CABOT Summer School","Dufferin-Peel CDSB","Summer","635 Willowbank Trail","Mississauga","Ontario","Canada","L4W 3L6"
"on-provider:B67083:981678","DPCDSB - CAMPI Summer School","Dufferin-Peel CDSB","Summer","275 Brisdale Drive","Brampton","Ontario","Canada","L7A 3C7"
"on-provider:B67083:984308","DPCDSB - CARMS Summer School","Dufferin-Peel CDSB","Summer","3700 Trelawny Circle","Mississauga","Ontario","Canada","L5N 5J7"
"on-provider:B67083:988943","DPCDSB - DYOUV Summer School","Dufferin-Peel CDSB","Summer","10815 Dixie Road","Brampton","Ontario","Canada","L6R 2W5"
"on-provider:B67083:980684","DPCDSB - ELEARN Summer School","Dufferin-Peel CDSB","Summer","40 Matheson Blvd W","Mississauga","Ontario","Canada","L5R 1C5"
"on-provider:B67083:983155","DPCDSB - GOETZ Summer School","Dufferin-Peel CDSB","Summer","330 Central Parkway West","Mississauga","Ontario","Canada","L5B 3K6"
"on-provider:B67083:987080","DPCDSB - GONZA Summer School","Dufferin-Peel CDSB","Summer","2800 Erin Centre Boulevard","Mississauga","Ontario","Canada","L5M 6R5"
"on-provider:B67083:981951","DPCDSB - HNMRY Summer School","Dufferin-Peel CDSB","Summer","115 Glenvale Boulevard","Brampton","Ontario","Canada","L6S 3J7"
"on-provider:B67083:987489","DPCDSB - IONA Summer School","Dufferin-Peel CDSB","Summer","2170 South Sheridan Way","Mississauga","Ontario","Canada","L5J 2M4"
"on-provider:B67083:982065","DPCDSB - JOANA Summer School","Dufferin-Peel CDSB","Summer","3801 Thomas Street","Mississauga","Ontario","Canada","L5M 7G2"
"on-provider:B67083:987652","DPCDSB - JOESS Summer School","Dufferin-Peel CDSB","Summer","5555 Creditview Road","Mississauga","Ontario","Canada","L5V 2B9"
"on-provider:B67083:981304","DPCDSB - LEGER Summer School","Dufferin-Peel CDSB","Summer","75 Mary Street","Brampton","Ontario","Canada","L6W 3K5"
"on-provider:B67083:984580","DPCDSB - LOYOL Summer School","Dufferin-Peel CDSB","Summer","4010 Sladeview Crescent","Mississauga","Ontario","Canada","L5L 6B1"
"on-provider:B67083:981005","DPCDSB - MARCL Summer School","Dufferin-Peel CDSB","Summer","730 Courtneypark Drive","Mississauga","Ontario","Canada","L5W 1L9"
"on-provider:B67083:987212","DPCDSB - MARTN Summer School","Dufferin-Peel CDSB","Summer","2470 Rosemary Drive","Mississauga","Ontario","Canada","L5C 1X2"
"on-provider:B67083:983039","DPCDSB - NDAME Summer School","Dufferin-Peel CDSB","Summer","2 Notre Dame Avenue","Brampton","Ontario","Canada","L6Z 4L5"
"on-provider:B67083:990620","DPCDSB - Night School","Dufferin-Peel CDSB","Continuing Education","40 Matheson Blvd W","Mississauga","Ontario","Canada","L5R 1C5"
"on-provider:B67083:989253","DPCDSB - PAULS Summer School","Dufferin-Peel CDSB","Summer","815 Atwater Avenue","Mississauga","Ontario","Canada","L5E 1L8"
"on-provider:B67083:987725","DPCDSB - POCOK Summer School","Dufferin-Peel CDSB","Summer","870 Queen Street","Mississauga","Ontario","Canada","L5H 4G1"
"on-provider:B67083:988703","DPCDSB - ROCHS Summer School","Dufferin-Peel CDSB","Summer","200 Valleyway Drive","Brampton","Ontario","Canada","L6X 0N3"
"on-provider:B67083:720809","DPCDSB Secondary Virtual School 1","Dufferin-Peel CDSB","Remote School","40 Matheson Boulevard","Mississauga","Ontario","Canada","L5R 1C5"
"on-provider:B67083:981497","DPCDSB - STFXS Summer School","Dufferin-Peel CDSB","Summer","50 Bristol Road","Mississauga","Ontario","Canada","L5R 3K3"
"on-provider:B66095:981524","Dr Denison Secondary Summer School","York Region DSB","Summer","135 Brisol Rd","Newmarket","Ontario","Canada","L3Y 8J7"
"on-provider:B66095:992240","Dr G W Williams Night School","York Region DSB","Continuing Education","39 Dunning Ave","Richmond Hill","Ontario","Canada","L4G 1A1"
"on-provider:B28002:991357","DSB Ontario North East Con Ed School","DSB Ontario North East","Continuing Education","Suite 302, 273 Third Avenue","Timmins","Ontario","Canada","P4N 1E2"
"on-provider:B67334:997736","Éducation permanente/non crédité","CSDC du Centre-Est de l'Ontario","Continuing Education","181 Donald rue","Ottawa","Ontario","Canada","K1K 1N1"
